"Latitude","Longitude"
40.81478,-73.957499
40.802672,-73.964081
40.801478,-73.960362
40.81414448,-73.95570545
40.799443,-73.96837
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.81445,-73.959195
40.802334,-73.966167
40.801538,-73.958421
40.80093,-73.967923
40.81445,-73.959195
40.80550908,-73.9620072
40.799644,-73.960755
40.802972,-73.96572
40.800134,-73.967089
40.804229,-73.964802
40.805141,-73.96599
40.801478,-73.960362
40.812941,-73.95588
40.80178,-73.967838
40.805785,-73.960688
40.80550908,-73.9620072
40.8080019,-73.96389863
40.812941,-73.95588
40.813196,-73.958257
40.80178,-73.967838
40.811938,-73.957318
40.80405,-73.95659
40.809176,-73.951895
40.801772,-73.962879
40.801659,-73.966508
40.813123,-73.954166
40.813123,-73.954166
40.80855,-73.952355
40.813001,-73.956543
40.804644,-73.953799
40.799644,-73.960755
40.80441979,-73.95536877
40.802057,-73.96453
40.80178,-73.967838
40.8084177460021,-73.9524740603515
40.805402,-73.9556
40.804044,-73.952379
40.814367,-73.957138
40.80355422,-73.96911325
40.813001,-73.956543
40.806022,-73.956098
40.81076448,-73.95259015
40.801426,-73.964987
40.803768,-73.952699
40.81445,-73.959195
40.800144,-73.968085
40.801888,-73.955356
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.801426,-73.964987
40.805483,-73.963892
40.811747,-73.952823
40.803768,-73.952699
40.8084177460021,-73.9524740603515
40.800144,-73.968085
40.813196,-73.958257
40.8084177460021,-73.9524740603515
40.80178,-73.967838
40.803887,-73.967894
40.814857,-73.960205
40.81445,-73.959195
40.8084177460021,-73.9524740603515
40.799837,-73.964287
40.802896,-73.960698
40.801888,-73.955356
40.805402,-73.9556
40.800513,-73.963796
40.8084177460021,-73.9524740603515
40.802602,-73.967928
40.799161,-73.96478
40.803569,-73.965282
40.8084177460021,-73.9524740603515
40.801888,-73.955356
40.8080019,-73.96389863
40.804535,-73.957786
40.8084177460021,-73.9524740603515
40.805141,-73.96599
40.801888,-73.955356
40.802896,-73.960698
40.80178,-73.967838
40.809678,-73.953426
40.805483,-73.963892
40.800895,-73.966793
40.803768,-73.952699
40.81445,-73.959195
40.804758,-73.955121
40.804644,-73.953799
40.806247,-73.951756
40.815423,-73.958062
40.8084177460021,-73.9524740603515
40.804535,-73.957786
40.803881,-73.954092
40.804644,-73.953799
40.806393,-73.965078
40.813123,-73.954166
40.799978,-73.956584
40.803811,-73.957992
40.81478,-73.957499
40.814495,-73.962519
40.802157,-73.958918
40.80178,-73.967838
40.8084177460021,-73.9524740603515
40.804042,-73.95755
40.8084177460021,-73.9524740603515
40.805823,-73.961778
40.8084177460021,-73.9524740603515
40.80755054,-73.95290309
40.8084177460021,-73.9524740603515
40.799457,-73.96743
40.799622,-73.96168
40.799161,-73.96478
40.80178,-73.967838
40.804082,-73.955616
40.801659,-73.966508
40.80612829,-73.96737458
40.80471456,-73.95825466
40.800857,-73.961687
40.813984,-73.960188
40.800056,-73.968851
40.800895,-73.966793
40.802334,-73.966167
40.81445,-73.959195
40.805141,-73.96599
40.805823,-73.961778
40.811068,-73.953301
40.81076448,-73.95259015
40.806981,-73.95155
40.803768,-73.952699
40.811068,-73.953301
40.807134,-73.965872
40.8084177460021,-73.9524740603515
40.801538,-73.958421
40.812187,-73.955237
40.811938,-73.957318
40.802972,-73.96572
40.799024,-73.96026
40.81076448,-73.95259015
40.8084177460021,-73.9524740603515
40.81076448,-73.95259015
40.810947,-73.958042
40.80441979,-73.95536877
40.811804,-73.954903
40.80185693,-73.95723787
40.80629,-73.952832
40.800895,-73.966793
40.804535,-73.957786
40.813219,-73.961398
40.801538,-73.958421
40.811229,-73.959692
40.80441979,-73.95536877
40.799837,-73.964287
40.804426,-73.967375
40.81043,-73.952835
40.806651,-73.95564
40.81386,-73.956684
40.804498,-73.966458
40.801772,-73.962879
40.81478,-73.957499
40.806667,-73.953728
40.80343,-73.956092
40.8084177460021,-73.9524740603515
40.81043,-73.952835
40.807287,-73.954224
40.81478,-73.957499
40.805141,-73.96599
40.800251,-73.961222
40.81386,-73.956684
40.813001,-73.956543
40.815423,-73.958062
40.8084177460021,-73.9524740603515
40.812187,-73.955237
40.800631,-73.956275
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8084177460021,-73.9524740603515
40.8011103,-73.9652135
40.8059775,-73.96797067
40.8084177460021,-73.9524740603515
40.804044,-73.952379
40.803139,-73.954445
40.8084177460021,-73.9524740603515
40.799574,-73.962622
40.81076448,-73.95259015
40.80441979,-73.95536877
40.806468,-73.960209
40.806667,-73.953728
40.80178,-73.967838
40.807134,-73.965872
40.803121,-73.952599
40.811068,-73.953301
40.811068,-73.953301
40.80733783,-73.96439026
40.811068,-73.953301
40.813767,-73.955983
40.80482696,-73.96621573
40.810947,-73.958042
40.811938,-73.957318
40.806108,-73.963428
40.802972,-73.96572
40.81445,-73.959195
40.799978,-73.956584
40.811938,-73.957318
40.81043,-73.952835
40.815324,-73.95921
40.814495,-73.962519
40.813219,-73.961398
40.81445,-73.959195
40.81068566,-73.95451203
40.803248,-73.967358
40.804644,-73.953799
40.804694,-73.957069
40.80728,-73.95518
40.8084177460021,-73.9524740603515
40.81076448,-73.95259015
40.803881,-73.954092
